Candidate,Win Percentage,Date,LB,UB
Biden,0.58398,2024-02-25,0.48796,0.68796
Trump,0.4494,2024-02-26,0.35,0.54
Biden,0.5506,2024-02-26,0.4512,0.6412
Trump,0.47858,2024-02-27,0.38,0.57
Biden,0.52142,2024-02-27,0.42284,0.61284
Trump,0.48392,2024-02-28,0.39,0.59
Biden,0.51608,2024-02-28,0.42216,0.62216
Trump,0.53092,2024-02-29,0.43,0.63
Biden,0.46908,2024-02-29,0.36816,0.56816
Trump,0.48726,2024-03-01,0.39,0.59
Biden,0.51274,2024-03-01,0.41548,0.61548
Trump,0.51662,2024-03-02,0.41975,0.61
Biden,0.48338,2024-03-02,0.38651,0.57676
Trump,0.5333,2024-03-03,0.44,0.63
Biden,0.4667,2024-03-03,0.3734,0.5634
Trump,0.5395,2024-03-04,0.44,0.64
Biden,0.4605,2024-03-04,0.361,0.561
Trump,0.51222,2024-03-05,0.41,0.6
Biden,0.48778,2024-03-05,0.38556,0.57556
Trump,0.54736,2024-03-06,0.45,0.64
Biden,0.45264,2024-03-06,0.35528,0.54528
Trump,0.58588,2024-03-07,0.49,0.67
Biden,0.41412,2024-03-07,0.31824,0.49824
Trump,0.55122,2024-03-08,0.45,0.65025
Biden,0.44878,2024-03-08,0.34756,0.54781
Trump,0.54642,2024-03-09,0.45,0.64
Biden,0.45358,2024-03-09,0.35716,0.54716
Trump,0.54094,2024-03-10,0.44,0.64
Biden,0.45906,2024-03-10,0.35812,0.55812
Trump,0.54608,2024-03-11,0.44975,0.65
Biden,0.45392,2024-03-11,0.35759,0.55784
Trump,0.5589,2024-03-12,0.46,0.65
Biden,0.4411,2024-03-12,0.3422,0.5322
Trump,0.57398,2024-03-13,0.48,0.67
Biden,0.4260199999999999,2024-03-13,0.3320399999999999,0.52204
Trump,0.56584,2024-03-14,0.47,0.66
Biden,0.43416,2024-03-14,0.3383199999999999,0.52832
Trump,0.56356,2024-03-15,0.46,0.66
Biden,0.43644,2024-03-15,0.3328800000000001,0.5328800000000001
Trump,0.55692,2024-03-16,0.46,0.65
Biden,0.44308,2024-03-16,0.3461600000000001,0.5361600000000001
Trump,0.56168,2024-03-17,0.47,0.66
Biden,0.43832,2024-03-17,0.34664,0.5366400000000001
Trump,0.55974,2024-03-18,0.46,0.65
Biden,0.44026,2024-03-18,0.34052,0.53052
Trump,0.55904,2024-03-19,0.46,0.65
Biden,0.44096,2024-03-19,0.34192,0.5319200000000001
Trump,0.5566,2024-03-20,0.46,0.66
Biden,0.4434,2024-03-20,0.3468,0.5468000000000001
Trump,0.56144,2024-03-21,0.46,0.67
Biden,0.4385599999999999,2024-03-21,0.3371199999999999,0.5471199999999999
Trump,0.5488,2024-03-22,0.46,0.65
Biden,0.4512,2024-03-22,0.3624000000000001,0.5524000000000001
Trump,0.36888,2024-03-23,0.28,0.46
Biden,0.63112,2024-03-23,0.54224,0.72224
Trump,0.19788,2024-03-23,0.12,0.27024999999999977
Biden,0.8021199999999999,2024-03-23,0.72424,0.8744899999999998
